ID	ACO1_A	ACO1_B	ACO2_A	ACO2_B	ACO3_A	ACO3_B	ACO4_A	ACO4_B	ACO5_A	ACO5_B	AO1_A	AO1_B	AO2_A	AO2_B	AO3_A	AO3_B	AO4_A	AO4_B	AO5_A	AO5_B	B1_A	B1_B	B2_A	B2_B	B3_A	B3_B	B4_A	B4_B	B5_A	B5_B	BO1_A	BO1_B	BO2_A	BO2_B	BO3_A	BO3_B	BO4_A	BO4_B	BO5_A	BO5_B	CO1_A	CO1_B	CO2_A	CO2_B	CO3_A	CO3_B	CO4_A	CO4_B	CO5_A	CO5_B	nCO1_A	nCO1_B	nCO2_A	nCO2_B	nCO3_A	nCO3_B	nCO4_A	nCO4_B	nCO5_A	nCO5_B
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.14708	99.74711	97.20623	99.93822	99.9401	100.0	99.76831	100.0	99.60863	100.0	99.61925	100.0	100.0	100.0	98.85221	98.83025	98.32036	98.92239	100.0	100.0	100.0	100.0	99.50968	99.79943	99.57847	99.95044	99.9004	100.0	100.0	100.0	99.5704	99.86075	99.60359	100.0	100.0	100.0	99.79885	100.0	99.90813	100.0
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10326	0.0	1.27782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	84.99942	84.99942	88.23037	84.01358	100.0	88.54175	25.93864	53.12734	54.30143	40.29308	99.41731	100.0	77.19014	67.79396	56.95737	68.8229	67.47726	48.74853	83.58938	94.69076	85.68039	91.30634	75.61983	81.84286	17.21131	8.61903	1.51599	0.68775	19.71574	29.28882	4.8121	4.28973	1.70717	1.94279	20.66562	15.51619	59.34628	59.06535	24.94415	17.43158	38.90044	42.26812	19.52139	26.2905	51.30516	51.62491	12.15993	10.47514	29.39605	26.83843	28.24216	31.45066	26.00435	34.34523	40.92839	41.63147	21.04494	17.61134	24.19365	20.97421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	84.99942	84.99942	3.16742	4.35117	31.16886	28.93042	9.13968	11.34655	12.53819	3.75476	75.87575	38.87784	26.19954	25.64416	41.54266	43.10747	30.59242	48.74853	11.34968	11.89503	68.27729	75.21424	48.48836	57.44031	6.57768	3.69851	1.51599	0.68775	10.36298	10.44752	2.76963	2.61477	1.70717	1.94279	11.69361	12.9228	47.06809	52.80681	1.76814	2.16106	38.90044	42.26812	10.64733	9.89978	49.1245	47.29284	6.7438	8.61637	19.36733	26.83843	5.63331	5.47425	5.95034	8.90349	0.0	0.0	4.29559	6.48383	6.70739	9.90384
